MUNICIPIO,MUNIC,POPULACAO,TOTAL_PER_CAPITA,COD_IBGE_SMALL,COD_IBGE,UF,TOTAL
MIGUELÓPOLIS,MIGUELÓPOLIS-SP,20918,4.774882876,352970,3529708,SP,99881
MILAGRES,MILAGRES-CE,27861,3.547970281,230830,2308302,CE,98850
MILAGRES DO MARANHÃO,MILAGRES DO MARANHÃO-MA,7838,0.969635111,210667,2106672,MA,7600
MILHÃ,MILHÃ-CE,14691,0.0471547206,230835,2308351,CE,692.75
MILTON BRANDÃO,MILTON BRANDÃO-PI,7220,22.5184210526,220635,2206357,PI,162583
MIMOSO DE GOIÁS,MIMOSO DE GOIÁS-GO,2930,2.3890784983,521305,5213053,GO,7000
MIMOSO DO SUL,MIMOSO DO SUL-ES,27059,0.3678997746,320340,3203403,ES,9955
MINAÇU,MINAÇU-GO,31647,1.2911176415,521308,5213087,GO,40860
MINADOR DO NEGRÃO,MINADOR DO NEGRÃO-AL,5306,15.4319261214,270530,2705309,AL,81881.8
MINAS DO LEÃO,MINAS DO LEÃO-RS,8055,3.7773693358,431225,4312252,RS,30426.71
MINAS NOVAS,MINAS NOVAS-MG,31557,0.3850175872,314180,3141801,MG,12150
MINDURI,MINDURI-MG,3684,0.5700325733,314190,3141900,MG,2100
MINEIROS,MINEIROS-GO,47500,2.5116008421,521310,5213103,GO,119301.04
MINISTRO ANDREAZZA,MINISTRO ANDREAZZA-RO,10653,0.1657748991,110120,1101203,RO,1766
MIRA ESTRELA,MIRA ESTRELA-SP,2659,1.199699135,353000,3530003,SP,3190
MIRABELA,MIRABELA-MG,13198,1.3635444764,314200,3142007,MG,17996.06
MIRACATU,MIRACATU-SP,23688,0.3267814927,352990,3529906,SP,7740.8
MIRACEMA,MIRACEMA-RJ,26868,3.782119994,330300,3303005,RJ,101618
MIRACEMA DO TOCANTINS,MIRACEMA DO TOCANTINS-TO,20194,1.2463008814,171320,1713205,TO,25167.8
MIRADOR,MIRADOR-PR,2385,5.3144654088,411590,4115903,PR,12675
MIRADOURO,MIRADOURO-MG,10575,8.1169134752,314210,3142106,MG,85836.36
MIRAGUAÍ,MIRAGUAÍ-RS,4995,4.087029029,431230,4312302,RS,20414.71
MIRAÍ,MIRAÍ-MG,13418,4.2431413027,314220,3142205,MG,56934.47
MIRAÍMA,MIRAÍMA-CE,12625,2.1156435644,230837,2308377,CE,26710
MIRANDA,MIRANDA-MS,24687,2.8111961761,500560,5005608,MS,69400
MIRANDA DO NORTE,MIRANDA DO NORTE-MA,18288,0.5818022747,210675,2106755,MA,10640
MIRANDIBA,MIRANDIBA-PE,13757,0.7948680672,260930,2609303,PE,10935
MIRANDÓPOLIS,MIRANDÓPOLIS-SP,26705,0.7866695375,353010,3530102,SP,21008.01
MIRANGABA,MIRANGABA-BA,18436,7.3349370796,292140,2921401,BA,135226.9
MIRANORTE,MIRANORTE-TO,12200,2.868852459,171330,1713304,TO,35000
MIRANTE,MIRANTE-BA,8876,5.1430824696,292145,2921450,BA,45650
MIRANTE DA SERRA,MIRANTE DA SERRA-RO,12446,14.7591611763,110130,1101302,RO,183692.52
MIRANTE DO PARANAPANEMA,MIRANTE DO PARANAPANEMA-SP,17967,0.760366227,353020,3530201,SP,13661.5
MIRASSOL,MIRASSOL-SP,54350,0.1095124195,353030,3530300,SP,5952
MIRASSOL D'OESTE,MIRASSOL D'OESTE-MT,25360,1.0439869874,510562,5105622,MT,26475.51
MIRASSOLÂNDIA,MIRASSOLÂNDIA-SP,4338,0.3065929,353040,3530409,SP,1330
MIRAVÂNIA,MIRAVÂNIA-MG,4927,0.118569109,314225,3142254,MG,584.19
MIRIM DOCE,MIRIM DOCE-SC,2601,12.0117570165,421085,4210852,SC,31242.58
MISSAL,MISSAL-PR,10739,0.9269950647,411605,4116059,PR,9955
MISSÃO VELHA,MISSÃO VELHA-CE,34926,0.7348622802,230840,2308401,CE,25665.8
MOCAJUBA,MOCAJUBA-PA,24328,3.9598195495,150460,1504604,PA,96334.49
MOCOCA,MOCOCA-SP,68481,0.0893678539,353050,3530508,SP,6120
MODELO,MODELO-SC,3871,3.1208989925,421090,4210902,SC,12081
MOEDA,MOEDA-MG,4652,0.0021496131,314230,3142304,MG,10
MOEMA,MOEMA-MG,6998,1.0087153472,314240,3142403,MG,7058.99
MOGEIRO,MOGEIRO-PB,12664,0.309418825,250940,2509404,PB,3918.48
MOGI DAS CRUZES,MOGI DAS CRUZES-SP,371372,1.8537164083,353060,3530607,SP,688418.37
MOGI GUAÇU,MOGI GUAÇU-SP,138494,0.4399080827,353070,3530706,SP,60924.6300000001
MOGI MIRIM,MOGI MIRIM-SP,,,,,SP,98971.1100000002
MOITA BONITA,MOITA BONITA-SE,11230,0.2404274265,280410,2804102,SE,2700
MOJU,MOJU-PA,67195,0.1183123744,150470,1504703,PA,7950
MOJUÍ DOS CAMPOS,MOJUÍ DOS CAMPOS-PA,,,,,PA,10177
MOMBAÇA,MOMBAÇA-CE,46252,5.2504756551,230850,2308500,CE,242845
MONÇÃO,MONÇÃO-MA,28386,3.3644958782,210690,2106904,MA,95504.58
MONÇÕES,MONÇÕES-SP,2124,3.5922787194,353100,3531001,SP,7630
MONDAÍ,MONDAÍ-SC,9449,3.6194306276,421100,4211009,SC,34200
MONGAGUÁ,MONGAGUÁ-SP,43284,2.3538258941,353110,3531100,SP,101883
MONSENHOR GIL,MONSENHOR GIL-PI,10616,13.8088912962,220640,2206407,PI,146595.19
MONSENHOR HIPÓLITO,MONSENHOR HIPÓLITO-PI,7369,6.981612159,220650,2206506,PI,51447.5
MONSENHOR PAULO,MONSENHOR PAULO-MG,7591,0.8183045712,314260,3142601,MG,6211.75
MONSENHOR TABOSA,MONSENHOR TABOSA-CE,17114,5.9460091153,230860,2308609,CE,101760
MONTADAS,MONTADAS-PB,4681,3.184725486,250950,2509503,PB,14907.7
MONTALVÂNIA,MONTALVÂNIA-MG,16265,2.6092954196,314270,3142700,MG,42440.19
MONTANHA,MONTANHA-ES,18723,0.4036586017,320350,3203502,ES,7557.7
MONTANHAS,MONTANHAS-RN,12762,6.5691506034,240770,2407708,RN,83835.5
MONTAURI,MONTAURI-RS,1615,1.919504644,431235,4312351,RS,3100
MONTE ALEGRE,MONTE ALEGRE-PA,63543,0.5396487418,150480,1504802,PA,34290.9
MONTE ALEGRE,MONTE ALEGRE-RN,21225,3.4110106007,240780,2407807,RN,72398.7
MONTE ALEGRE DE MINAS,MONTE ALEGRE DE MINAS-MG,18969,2.8556623965,314280,3142809,MG,54169.06
MONTE ALEGRE DE SERGIPE,MONTE ALEGRE DE SERGIPE-SE,13620,2.7720264317,280420,2804201,SE,37755
MONTE ALEGRE DO PIAUÍ,MONTE ALEGRE DO PIAUÍ-PI,10632,3.5289023702,220660,2206605,PI,37519.29
MONTE ALEGRE DO SUL,MONTE ALEGRE DO SUL-SP,7371,1.7080450414,353120,3531209,SP,12590
MONTE ALEGRE DOS CAMPOS,MONTE ALEGRE DOS CAMPOS-RS,3238,1.2662137122,431237,4312377,RS,4100
MONTE ALTO,MONTE ALTO-SP,45719,2.3236814016,353130,3531308,SP,106236.39
MONTE APRAZÍVEL,MONTE APRAZÍVEL-SP,20789,1.9147356775,353140,3531407,SP,39805.44
MONTE AZUL,MONTE AZUL-MG,22949,1.159255741,314290,3142908,MG,26603.76
MONTE BELO,MONTE BELO-MG,12889,0.9034835907,314300,3143005,MG,11645
MONTE BELO DO SUL,MONTE BELO DO SUL-RS,2834,8.0804516584,431238,4312385,RS,22900
MONTE CARLO,MONTE CARLO-SC,9125,2.2668493151,421105,4211058,SC,20685
MONTE CARMELO,MONTE CARMELO-MG,45819,0.7265505576,314310,3143104,MG,33289.82
MONTE CASTELO,MONTE CASTELO-SC,8337,12.0206309224,421110,4211108,SC,100216
MONTE CASTELO,MONTE CASTELO-SP,4130,0.5133171913,353160,3531605,SP,2120
MONTE DO CARMO,MONTE DO CARMO-TO,6586,3.2645004555,171360,1713601,TO,21500
MONTE HOREBE,MONTE HOREBE-PB,4466,0.4713390058,250960,2509602,PB,2105
MONTE MOR,MONTE MOR-SP,45811,0.8628931916,353180,3531803,SP,39530.0000000001
MONTE NEGRO,MONTE NEGRO-RO,12710,4.2430369788,110140,1101401,RO,53929
MONTE SANTO,MONTE SANTO-BA,53577,1.0293596133,292150,2921500,BA,55150
MONTE SANTO DE MINAS,MONTE SANTO DE MINAS-MG,20616,0.4529443151,314320,3143203,MG,9337.9
MONTE SANTO DO TOCANTINS,MONTE SANTO DO TOCANTINS-TO,1911,0.5232862376,171370,1713700,TO,1000
MONTE SIÃO,MONTE SIÃO-MG,19970,0.1326990486,314340,3143401,MG,2650
MONTEIRO,MONTEIRO-PB,30807,2.9505956438,250970,2509701,PB,90899
MONTEIRO LOBATO,MONTEIRO LOBATO-SP,4235,5.8443919717,353170,3531704,SP,24751
MONTEIRÓPOLIS,MONTEIRÓPOLIS-AL,7293,0.754147813,270540,2705408,AL,5500
MONTENEGRO,MONTENEGRO-RS,59110,1.8077482659,431240,4312401,RS,106856
MONTES ALTOS,MONTES ALTOS-MA,9055,10.2779348426,210700,2107001,MA,93066.7
MONTES CLAROS,MONTES CLAROS-MG,358271,2.1756846075,314330,3143302,MG,779484.7
MONTES CLAROS DE GOIÁS,MONTES CLAROS DE GOIÁS-GO,8069,0.8520262734,521370,5213707,GO,6875
MONTEZUMA,MONTEZUMA-MG,7580,4.2462269129,314345,3143450,MG,32186.4
MONTIVIDIU,MONTIVIDIU-GO,9766,21.176952693,521375,5213756,GO,206814.12
MONTIVIDIU DO NORTE,MONTIVIDIU DO NORTE-GO,4621,0.5453365072,521377,5213772,GO,2520
MORADA NOVA,MORADA NOVA-CE,63296,1.0190217391,230870,2308708,CE,64500
MORADA NOVA DE MINAS,MORADA NOVA DE MINAS-MG,8650,10.4323815029,314350,3143500,MG,90240.1
MORAÚJO,MORAÚJO-CE,8406,5.647751606,230880,2308807,CE,47475
MOREIRA SALES,MOREIRA SALES-PR,13263,1.1924149891,411610,4116109,PR,15815
MORENO,MORENO-PE,55102,0.2604261188,260940,2609402,PE,14350
MORMAÇO,MORMAÇO-RS,2689,0.1458014132,431242,4312427,RS,392.06
MORPARÁ,MORPARÁ-BA,8853,1.4592522309,292160,2921609,BA,12918.76
MORRETES,MORRETES-PR,16853,4.715282739,411620,4116208,PR,79466.66
MORRINHOS,MORRINHOS-CE,22269,5.4914904127,230890,2308906,CE,122290
MORRINHOS,MORRINHOS-GO,40512,1.5176873519,521380,5213806,GO,61484.55
MORRINHOS DO SUL,MORRINHOS DO SUL-RS,3291,0.1002734731,431244,4312443,RS,330
MORRO AGUDO,MORRO AGUDO-SP,26245,9.2023227281,353190,3531902,SP,241514.96
MORRO AGUDO DE GOIÁS,MORRO AGUDO DE GOIÁS-GO,2391,4.1755834379,521385,5213855,GO,9983.82
MORRO CABEÇA NO TEMPO,MORRO CABEÇA NO TEMPO-PI,4362,14.1934892251,220665,2206654,PI,61912
MORRO DA FUMAÇA,MORRO DA FUMAÇA-SC,15994,3.2199574841,421120,4211207,SC,51500
MORRO DA GARÇA,MORRO DA GARÇA-MG,2968,1.0660377358,314360,3143609,MG,3164
MORRO DO CHAPÉU,MORRO DO CHAPÉU-BA,35009,0.6715416036,292170,2921708,BA,23510
MORRO DO CHAPÉU DO PIAUÍ,MORRO DO CHAPÉU DO PIAUÍ-PI,6560,11.5296341463,220667,2206670,PI,75634.4
MORRO GRANDE,MORRO GRANDE-SC,2790,1.1451612903,421125,4211256,SC,3195
MORRO REDONDO,MORRO REDONDO-RS,6437,1.1446325928,431245,4312450,RS,7368
MORRO REUTER,MORRO REUTER-RS,5897,2.4404612515,431247,4312476,RS,14391.4
MORROS,MORROS-MA,17620,1.1866288309,210710,2107100,MA,20908.4
MORTUGABA,MORTUGABA-BA,14508,1.7295754067,292180,2921807,BA,25092.68
MORUNGABA,MORUNGABA-SP,12999,0.8962227864,353200,3532009,SP,11650
MOSSÂMEDES,MOSSÂMEDES-GO,4988,0.6415396953,521390,5213905,GO,3200
MOSSORÓ,MOSSORÓ-RN,241645,2.7263137661,240800,2408003,RN,658800.09
MOSTARDAS,MOSTARDAS-RS,12334,3.9038495216,431250,4312500,RS,48150.08
MOZARLÂNDIA,MOZARLÂNDIA-GO,13815,4.7327542526,521400,5214002,GO,65383
MUANÁ,MUANÁ-PA,30117,2.3016568715,150490,1504901,PA,69319
MUCAMBO,MUCAMBO-CE,14481,4.2055106692,230900,2309003,CE,60900
MUCUGÊ,MUCUGÊ-BA,14629,2.9841082781,292190,2921906,BA,43654.52
MUÇUM,MUÇUM-RS,4693,6.0868932453,431260,4312609,RS,28565.79
MUCURI,MUCURI-BA,34836,0.1808473992,292200,2922003,BA,6300
MUCURICI,MUCURICI-ES,5914,2.120104836,320360,3203601,ES,12538.3
MUITOS CAPÕES,MUITOS CAPÕES-RS,3085,8.0889076175,431261,4312617,RS,24954.28
MULUNGU,MULUNGU-PB,9577,2.481160071,250980,2509800,PB,23762.07
MULUNGU DO MORRO,MULUNGU DO MORRO-BA,14006,3.090104241,292205,2922052,BA,43280
MUNDO NOVO,MUNDO NOVO-BA,24895,5.1393854188,292210,2922102,BA,127945
MUNDO NOVO,MUNDO NOVO-MS,16441,8.1632674412,500568,5005681,MS,134212.28
MUNHOZ,MUNHOZ-MG,6446,0.2171889544,314380,3143807,MG,1400
MUNHOZ DE MELO,MUNHOZ DE MELO-PR,3688,1.2201735358,411630,4116307,PR,4500
MUNIZ FERREIRA,MUNIZ FERREIRA-BA,7214,2.4487940116,292220,2922201,BA,17665.6
MUNIZ FREIRE,MUNIZ FREIRE-ES,18497,1.4934313672,320370,3203700,ES,27624
MUQUÉM DO SÃO FRANCISCO,MUQUÉM DO SÃO FRANCISCO-BA,,,,,BA,64922.28
MUQUI,MUQUI-ES,14322,1.2763615417,320380,3203809,ES,18280.05
MURIAÉ,MURIAÉ-MG,99006,2.1456048118,314390,3143906,MG,212427.75
MURIBECA,MURIBECA-SE,7438,0.2823339607,280430,2804300,SE,2100
MURICI,MURICI-AL,26731,0.1415584901,270550,2705507,AL,3784
MURICI DOS PORTELAS,MURICI DOS PORTELAS-PI,7877,13.97121366,220669,2206696,PI,110051.25
MURICILÂNDIA,MURICILÂNDIA-TO,2935,1.2810902896,171395,1713957,TO,3760
MURUTINGA DO SUL,MURUTINGA DO SUL-SP,4264,3.2726336773,353210,3532108,SP,13954.51
MUTUÍPE,MUTUÍPE-BA,21935,6.9128265329,292240,2922409,BA,151632.85
MUTUM,MUTUM-MG,27105,5.9649880096,314400,3144003,MG,161681
MUTUNÓPOLIS,MUTUNÓPOLIS-GO,4078,25.023266307,521410,5214101,GO,102044.88
MUZAMBINHO,MUZAMBINHO-MG,20458,0.2051520188,314410,3144102,MG,4197
NACIP RAYDAN,NACIP RAYDAN-MG,3028,2.5927179657,314420,3144201,MG,7850.75
NANUQUE,NANUQUE-MG,41389,2.1786465003,314430,3144300,MG,90172
NÃO-ME-TOQUE,NÃO-ME-TOQUE-RS,15876,0.3776140086,431265,4312658,RS,5995
NAQUE,NAQUE-MG,6107,5.5447158998,314435,3144359,MG,33861.58
NARANDIBA,NARANDIBA-SP,4131,0.2621834907,353220,3532207,SP,1083.08
NATAL,NATAL-RN,798065,1.673967534,240810,2408102,RN,1335934.9
NATALÂNDIA,NATALÂNDIA-MG,3371,7.6787303471,314437,3144375,MG,25885
NATÉRCIA,NATÉRCIA-MG,4764,7.0986565911,314440,3144409,MG,33818
NATIVIDADE,NATIVIDADE-RJ,15392,8.0343158784,330310,3303104,RJ,123664.19
NATIVIDADE,NATIVIDADE-TO,9355,0.7215392838,171420,1714203,TO,6750
NATIVIDADE DA SERRA,NATIVIDADE DA SERRA-SP,7613,0.6156311572,353230,3532306,SP,4686.8
NATUBA,NATUBA-PB,10510,0.1902949572,250990,2509909,PB,2000
NAVEGANTES,NAVEGANTES-SC,55691,0.6377736079,421130,4211306,SC,35518.25
NAVIRAÍ,NAVIRAÍ-MS,44828,1.9490831623,500570,5005707,MS,87373.5
NAZARÉ,NAZARÉ-BA,27350,0.1089579525,292250,2922508,BA,2980
NAZARÉ,NAZARÉ-TO,4652,12.8452923474,171430,1714302,TO,59756.3
NAZARÉ DA MATA,NAZARÉ DA MATA-PE,30122,0.004979749,260950,2609501,PE,150
NAZARÉ DO PIAUÍ,NAZARÉ DO PIAUÍ-PI,7144,52.5002785554,220670,2206704,PI,375061.99
NAZARÉ PAULISTA,NAZARÉ PAULISTA-SP,15168,6.0078672205,353240,3532405,SP,91127.33
NAZARENO,NAZARENO-MG,8023,0.0261747476,314450,3144508,MG,210
NAZAREZINHO,NAZAREZINHO-PB,7242,1.3442419221,251000,2510006,PB,9735
NAZÁRIA,NAZÁRIA-PI,8501,17.0623926597,220672,2206720,PI,145047.4
NAZÁRIO,NAZÁRIO-GO,7536,1.7697717622,521440,5214408,GO,13337
NEPOMUCENO,NEPOMUCENO-MG,25141,0.6802832027,314460,3144607,MG,17103
NERÓPOLIS,NERÓPOLIS-GO,20120,2.235387674,521450,5214507,GO,44976
NEVES PAULISTA,NEVES PAULISTA-SP,9102,1.5575697649,353250,3532504,SP,14177
NHAMUNDÁ,NHAMUNDÁ-AM,18198,2.5720820969,130300,1303007,AM,46806.75
NHANDEARA,NHANDEARA-SP,10726,1.0539809808,353260,3532603,SP,11305
NICOLAU VERGUEIRO,NICOLAU VERGUEIRO-RS,1805,5.8282548476,431267,4312674,RS,10520
NILÓPOLIS,NILÓPOLIS-RJ,159005,1.4531887676,330320,3303203,RJ,231064.28
NINA RODRIGUES,NINA RODRIGUES-MA,10326,0.4164245594,210720,2107209,MA,4300
NINHEIRA,NINHEIRA-MG,10884,0.8006615215,314465,3144656,MG,8714.4
NIOAQUE,NIOAQUE-MS,15649,0.8091143204,500580,5005806,MS,12661.83
NIPOÃ,NIPOÃ-SP,4029,1.2310002482,353270,3532702,SP,4959.7
NIQUELÂNDIA,NIQUELÂNDIA-GO,39720,0.5016022155,521460,5214606,GO,19923.64
NÍSIA FLORESTA,NÍSIA FLORESTA-RN,23655,9.3734369055,240820,2408201,RN,221728.65
NITERÓI,NITERÓI-RJ,477912,2.5161190135,330330,3303302,RJ,1202483.47
NOBRES,NOBRES-MT,15296,8.6216396444,510590,5105903,MT,131876.6
NONOAI,NONOAI-RS,12632,1.5176219126,431270,4312708,RS,19170.6
NORDESTINA,NORDESTINA-BA,12599,0.119057068,292265,2922656,BA,1500
NORMANDIA,NORMANDIA-RR,7403,0.0135080373,140040,1400407,RR,100
NORTELÂNDIA,NORTELÂNDIA-MT,6368,0.0797738693,510600,5106000,MT,508
NOSSA SENHORA APARECIDA,NOSSA SENHORA APARECIDA-SE,8770,5.4376282782,280445,2804458,SE,47688
NOSSA SENHORA DA GLÓRIA,NOSSA SENHORA DA GLÓRIA-SE,30466,1.1727821178,280450,2804508,SE,35729.98
NOSSA SENHORA DAS DORES,NOSSA SENHORA DAS DORES-SE,24529,0.0285376493,280460,2804607,SE,700
NOSSA SENHORA DE NAZARÉ,NOSSA SENHORA DE NAZARÉ-PI,4165,1.7767106843,220675,2206753,PI,7400
NOSSA SENHORA DO LIVRAMENTO,NOSSA SENHORA DO LIVRAMENTO-MT,12766,14.1641861194,510610,5106109,MT,180820
NOSSA SENHORA DO SOCORRO,NOSSA SENHORA DO SOCORRO-SE,153253,0.5343549555,280480,2804805,SE,81891.5
NOSSA SENHORA DOS REMÉDIOS,NOSSA SENHORA DOS REMÉDIOS-PI,8276,7.9671580474,220680,2206803,PI,65936.2
NOVA ALIANÇA,NOVA ALIANÇA-SP,5110,4.3626125245,353280,3532801,SP,22292.95
NOVA ALIANÇA DO IVAÍ,NOVA ALIANÇA DO IVAÍ-PR,1426,12.528828892,411650,4116505,PR,17866.11
NOVA ALVORADA,NOVA ALVORADA-RS,3214,5.8982576229,431275,4312757,RS,18957
NOVA AMÉRICA,NOVA AMÉRICA-GO,2271,0.5151915456,521470,5214705,GO,1170
NOVA ANDRADINA,NOVA ANDRADINA-MS,44971,0.657623802,500620,5006200,MS,29574
NOVA ARAÇÁ,NOVA ARAÇÁ-RS,4000,1.02875,431280,4312807,RS,4115
NOVA AURORA,NOVA AURORA-PR,11833,12.6913800389,411670,4116703,PR,150177.1
NOVA BASSANO,NOVA BASSANO-RS,9124,0.1379877247,431290,4312906,RS,1259
NOVA BELÉM,NOVA BELÉM-MG,3625,0.2344827586,314467,3144672,MG,850
NOVA BOA VISTA,NOVA BOA VISTA-RS,2125,5.8862729412,431295,4312955,RS,12508.33
NOVA BRASILÂNDIA DO OESTE,NOVA BRASILÂNDIA DO OESTE-RO,,,,,RO,75439.8
NOVA BRÉSCIA,NOVA BRÉSCIA-RS,3276,5.1588827839,431300,4313003,RS,16900.5
NOVA CAMPINA,NOVA CAMPINA-SP,9091,0.4115058849,353282,3532827,SP,3741
NOVA CANAÃ,NOVA CANAÃ-BA,19866,0.7222138327,292270,2922706,BA,14347.5
NOVA CANAÃ PAULISTA,NOVA CANAÃ PAULISTA-SP,2203,0.2065365411,353284,3532843,SP,455
NOVA CANDELÁRIA,NOVA CANDELÁRIA-RS,2800,1.775,431301,4313011,RS,4970
NOVA CANTU,NOVA CANTU-PR,7714,1.2469017371,411680,4116802,PR,9618.6
NOVA CASTILHO,NOVA CASTILHO-SP,1111,9.5409540954,353286,3532868,SP,10600
NOVA COLINAS,NOVA COLINAS-MA,4987,1.0026067776,210725,2107258,MA,5000
NOVA CRUZ,NOVA CRUZ-RN,36336,1.1896466314,240830,2408300,RN,43227
NOVA ERA,NOVA ERA-MG,18517,3.7510595669,314470,3144706,MG,69458.37
NOVA ERECHIM,NOVA ERECHIM-SC,4307,7.8588182029,421140,4211405,SC,33847.93
NOVA ESPERANÇA,NOVA ESPERANÇA-PR,26532,0.3919794965,411690,4116901,PR,10400
NOVA ESPERANÇA DO PIRIÁ,NOVA ESPERANÇA DO PIRIÁ-PA,23599,3.0726937582,150495,1504950,PA,72512.5
NOVA ESPERANÇA DO SUDOESTE,NOVA ESPERANÇA DO SUDOESTE-PR,5334,1.0967379078,411695,4116950,PR,5850
NOVA ESPERANÇA DO SUL,NOVA ESPERANÇA DO SUL-RS,5075,9.4279842365,431303,4313037,RS,47847.02
NOVA EUROPA,NOVA EUROPA-SP,9840,0.3267276423,353290,3532900,SP,3215
NOVA FÁTIMA,NOVA FÁTIMA-BA,7930,6.683480454,292273,2922730,BA,53000
NOVA FÁTIMA,NOVA FÁTIMA-PR,8270,0.84643289,411700,4117008,PR,7000
NOVA FLORESTA,NOVA FLORESTA-PB,10310,3.7552473327,251010,2510105,PB,38716.6
NOVA FRIBURGO,NOVA FRIBURGO-RJ,178310,1.940152319,330340,3303401,RJ,345948.56
NOVA GLÓRIA,NOVA GLÓRIA-GO,8668,4.3622519612,521486,5214861,GO,37812
NOVA GRANADA,NOVA GRANADA-SP,18543,1.5528274821,353300,3533007,SP,28794.08
NOVA GUATAPORANGA,NOVA GUATAPORANGA-SP,2176,4.2352941176,353310,3533106,SP,9216
NOVA HARTZ,NOVA HARTZ-RS,17535,1.2814274309,431306,4313060,RS,22469.83
NOVA IBIÁ,NOVA IBIÁ-BA,7047,1.0733290762,292275,2922755,BA,7563.75
NOVA IGUAÇU,NOVA IGUAÇU-RJ,855500,0.538254249,330350,3303500,RJ,460476.51
NOVA IGUAÇU DE GOIÁS,NOVA IGUAÇU DE GOIÁS-GO,2687,0.8827688872,521487,5214879,GO,2372
NOVA INDEPENDÊNCIA,NOVA INDEPENDÊNCIA-SP,2681,20.7976575905,353320,3533205,SP,55758.5199999999
NOVA IORQUE,NOVA IORQUE-MA,5041,0.8133306884,210730,2107308,MA,4100
NOVA IPIXUNA,NOVA IPIXUNA-PA,14808,2.5523365748,150497,1504976,PA,37795
NOVA ITABERABA,NOVA ITABERABA-SC,4229,22.8422794987,421145,4211454,SC,96600
NOVA ITARANA,NOVA ITARANA-BA,7762,5.2950270549,292280,2922805,BA,41100
NOVA LACERDA,NOVA LACERDA-MT,5144,1.7884914463,510618,5106182,MT,9200
NOVA LARANJEIRAS,NOVA LARANJEIRAS-PR,11598,8.2156397655,411705,4117057,PR,95284.9900000001
NOVA LIMA,NOVA LIMA-MG,75530,2.1568913015,314480,3144805,MG,162910
NOVA LONDRINA,NOVA LONDRINA-PR,12933,0.8791927627,411710,4117107,PR,11370.6
NOVA LUZITÂNIA,NOVA LUZITÂNIA-SP,3701,9.4511591462,353330,3533304,SP,34978.74
NOVA MAMORÉ,NOVA MAMORÉ-RO,21650,1.4994055427,110033,1100338,RO,32462.13
NOVA MARILÂNDIA,NOVA MARILÂNDIA-MT,2369,1.0236386661,510885,5108857,MT,2425
NOVA MARINGÁ,NOVA MARINGÁ-MT,5803,14.9993279338,510890,5108907,MT,87041.1
NOVA MÓDICA,NOVA MÓDICA-MG,3969,12.577223482,314490,3144904,MG,49919
NOVA MONTE VERDE,NOVA MONTE VERDE-MT,8443,0.5922065616,510895,5108956,MT,5000
NOVA MUTUM,NOVA MUTUM-MT,25658,0.5846129862,510622,5106224,MT,15000
NOVA NAZARÉ,NOVA NAZARÉ-MT,2867,2.8322288106,510617,5106174,MT,8120
NOVA ODESSA,NOVA ODESSA-SP,48170,1.703691094,353340,3533403,SP,82066.8
NOVA OLÍMPIA,NOVA OLÍMPIA-MT,20330,2.8681751107,510623,5106232,MT,58310
NOVA OLINDA,NOVA OLINDA-CE,13522,3.7006360006,230920,2309201,CE,50040
NOVA OLINDA,NOVA OLINDA-PB,6461,0.0340504566,251020,2510204,PB,220
NOVA OLINDA,NOVA OLINDA-TO,10835,1.5413013383,171488,1714880,TO,16700
NOVA OLINDA DO MARANHÃO,NOVA OLINDA DO MARANHÃO-MA,17646,2.7510483962,210735,2107357,MA,48545
NOVA OLINDA DO NORTE,NOVA OLINDA DO NORTE-AM,30357,6.6998267286,130310,1303106,AM,203386.64
NOVA PÁDUA,NOVA PÁDUA-RS,2581,0.6974041069,431308,4313086,RS,1800
NOVA PALMA,NOVA PALMA-RS,6663,3.2980639352,431310,4313102,RS,21975
NOVA PALMEIRA,NOVA PALMEIRA-PB,4042,15.3122464127,251030,2510303,PB,61892.1
NOVA PETRÓPOLIS,NOVA PETRÓPOLIS-RS,18484,2.0792847868,431320,4313201,RS,38433.5
NOVA PONTE,NOVA PONTE-MG,12233,1.5332134391,314500,3145000,MG,18755.8
NOVA PORTEIRINHA,NOVA PORTEIRINHA-MG,7583,0.3551364895,314505,3145059,MG,2693
NOVA PRATA,NOVA PRATA-RS,23721,3.4930926184,431330,4313300,RS,82859.65
NOVA PRATA DO IGUAÇU,NOVA PRATA DO IGUAÇU-PR,10791,1.2973774442,411725,4117255,PR,14000
NOVA RAMADA,NOVA RAMADA-RS,2490,9.4353413655,431333,4313334,RS,23494
NOVA REDENÇÃO,NOVA REDENÇÃO-BA,9262,4.3295184625,292285,2922854,BA,40100
NOVA RESENDE,NOVA RESENDE-MG,14623,3.0451063393,314510,3145109,MG,44528.59
NOVA ROMA,NOVA ROMA-GO,3644,1.5093304061,521490,5214903,GO,5500
NOVA ROMA DO SUL,NOVA ROMA DO SUL-RS,3690,1.2466124661,431335,4313359,RS,4600
NOVA ROSALÂNDIA,NOVA ROSALÂNDIA-TO,3888,1.0342078189,171500,1715002,TO,4021
NOVA RUSSAS,NOVA RUSSAS-CE,31770,0.0314762354,230930,2309300,CE,1000
NOVA SANTA BÁRBARA,NOVA SANTA BÁRBARA-PR,3952,1.5030364372,411721,4117214,PR,5940
NOVA SANTA HELENA,NOVA SANTA HELENA-MT,3453,1.9765421373,510619,5106190,MT,6825
NOVA SANTA RITA,NOVA SANTA RITA-PI,4407,8.2384842296,220795,2207959,PI,36307
